	Inchikey		 zero-point	      Enthalpy		  Free-energy
FFKOOHTVEFQHQL-NSCUHMNNSA-N    -343.39612100        -343.38774500        -343.42731500       
UIMKFJNCWQSTFN-UHFFFAOYSA-N    -343.29680600        -343.28850900        -343.32882400       
BJZRPPPHLTTXMO-UHFFFAOYSA-N    -265.89742800        -265.89159700        -265.92517800       
IEZWOVIWXFLQTP-UHFFFAOYSA-N    -228.88688500        -228.88100700        -228.91401900       
AHVMEWVKKZKEON-UHFFFAOYSA-N    -343.32072000        -343.31269900        -343.35160100       
LQBLZPJRKONGBA-UHFFFAOYSA-N    -343.30703200        -343.29891800        -343.33856400       
GSJFXBNYJCXDGI-UHFFFAOYSA-N    -343.51466000        -343.50666500        -343.54579600       
P_Energy                       -343.51466000        -343.50666500        -343.54579600       
TXHBRKKPPAECNB-UHFFFAOYSA-N    -343.40183600        -343.39529600        -343.43124200       
GGDMYFBTCOEIGD-UHFFFAOYSA-N    -343.36269200        -343.35464400        -343.39450700       
JCTHKUNMWCUDLH-UHFFFAOYSA-N    -342.26287600        -342.25544300        -342.29366100       
UYLUJGRCKKSWHS-UHFFFAOYSA-N    -191.86121700        -191.85553200        -191.88805000       
IWNTYRFNMKHRER-NSCUHMNNSA-N    -343.37742700        -343.36920800        -343.40856600       
ALRHLSYJTWAHJZ-UHFFFAOYSA-N    -343.51675600        -343.50889600        -343.54817000       
PHMDMSMEYYVXLZ-UPHRSURJSA-N    -343.47120300        -343.46406000        -343.50115700       
TURAMGVWNUTQKH-UHFFFAOYSA-N    -190.62859300        -190.62306100        -190.65469500       
BKPYNUMZCRWPTG-UHFFFAOYSA-N    -340.98605800        -340.97876900        -341.01642100       
MEUKEBNAABNAEX-UHFFFAOYSA-N    -190.80585400        -190.80053900        -190.83140800       
PHILMFQVUWCHOQ-UHFFFAOYSA-N    -342.24758100        -342.24165600        -342.27599800       
NVXLIZQNSVLKPO-UHFFFAOYSA-N    -342.29433200        -342.28657100        -342.32660000       
LSIGHSKIPNHVEN-UHFFFAOYSA-N    -343.41684700        -343.40855500        -343.44841200       
GFJVXXWOPWLRNU-UHFFFAOYSA-N    -267.08656000        -267.08044200        -267.11485000       
GAJYHLUYMIZKMD-UHFFFAOYSA-N    -342.19717200        -342.19077400        -342.22589900       
FQERLIOIVXPZKH-UHFFFAOYSA-N    -343.40323000        -343.39731300        -343.43144600       
FMGBGGSVWWXHHO-GSVOUGTGSA-N    -342.20834900        -342.20223200        -342.23678200       
AZIQALWHRUQPHV-UHFFFAOYSA-N    -342.21949100        -342.21186300        -342.25005500       
UTLVMFCPERHVKU-GSVOUGTGSA-N    -343.40695500        -343.39855900        -343.43856800       
VSLDDSJTIWMSPL-UHFFFAOYSA-N    -342.12707000        -342.12118400        -342.15520300       
NCTDTKHCTAWTHU-UHFFFAOYSA-N    -342.31022200        -342.30312800        -342.33989600       
WVKOKNQPFFEMSR-UHFFFAOYSA-N    -227.76570800        -227.76038300        -227.79197500       
CKFGINPQOCXMAZ-UHFFFAOYSA-N    -190.89159800        -190.88647300        -190.91703400       
XTIVMLJPNCRJDY-UHFFFAOYSA-N    -227.63553500        -227.62965200        -227.66230700       
MHAJPDPJQMAIIY-UHFFFAOYSA-N    -151.52144900        -151.51728200        -151.54376100       
QWFOJYBHKFALKR-UHFFFAOYSA-N    -343.39966000        -343.39171700        -343.43074700       
HSQJTKGDYLTAKQ-UHFFFAOYSA-N    -342.24690900        -342.23976900        -342.27705200       
JRUKHAIVAGVYRP-VKHMYHEASA-N    -343.51486000        -343.50685600        -343.54587600       
MIFXURDBXVFMHR-UHFFFAOYSA-N    -267.04198300        -267.03522400        -267.07116500       
TWGSXTJXQLNWNP-GSVOUGTGSA-N    -343.48778000        -343.48133100        -343.51689800       
KUDUADQPAQKPEH-UHFFFAOYSA-N    -342.13581600        -342.12784000        -342.16700300       
COYCHYMPNMUQTC-UHFFFAOYSA-N    -343.43057900        -343.42251400        -343.46230600       
MLMWEBWZFDJRKJ-UHFFFAOYSA-N    -266.93527500        -266.92830900        -266.96436000       
GNVILSSSAMKPLR-UHFFFAOYSA-N    -343.43633400        -343.42817000        -343.46821700       
VHWYCFISAQVCCP-UHFFFAOYSA-N    -230.17045800        -230.16432000        -230.19800200       
RGNLCYKNGPYALI-UHFFFAOYSA-N    -343.50001500        -343.49222700        -343.53107200       
BXNKCKFDLBMOTA-UHFFFAOYSA-N    -341.05477400        -341.04936400        -341.08255700       
JSLXSEGNIPIFLF-UHFFFAOYSA-N    -302.90155800        -302.89487700        -302.93062700       
CXMXXUXSRBBZSC-GSVOUGTGSA-N    -343.38823800        -343.38030500        -343.41889200       
QTBSBXVTEAMEQO-UHFFFAOYSA-N    -229.02492500        -229.01938000        -229.05195200       
LZBZEBHQVXRLLN-UHFFFAOYSA-N    -343.38334500        -343.37540500        -343.41438000       
